# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:10000,num_iter:100000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:469,num_snp_partitions:1,num_samps:100
# left_snp right_snp mean p0.025 p0.500 p0.975
1924 1943 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1943 1949 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1949 1970 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1970 1994 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
1994 2014 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2014 2068 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2068 2070 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2070 2117 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2117 2157 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2157 2170 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2170 2183 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2183 2267 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2267 2351 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2351 2409 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2409 2527 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2527 2557 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2557 2657 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2657 2734 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2734 2859 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2859 2921 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2921 2981 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
2981 3051 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3051 3060 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3060 3061 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3061 3202 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3202 3204 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3204 3229 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3229 3282 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3282 3340 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3340 3384 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3384 3558 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3558 3646 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3646 3661 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3661 3670 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3670 3691 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3691 3757 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3757 3760 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3760 3789 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3789 3815 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3815 3858 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3858 3896 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3896 3975 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3975 3993 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
3993 4003 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4003 4008 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4008 4099 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4099 4157 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4157 4210 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4210 4224 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4224 4265 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4265 4291 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4291 4327 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4327 4416 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4416 4426 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4426 4501 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4501 4528 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4528 4629 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4629 4635 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4635 4653 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4653 4719 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4719 4812 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4812 4846 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4846 4867 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
4867 5132 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
5132 5198 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
5198 5342 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
5342 5348 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
5348 5446 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
5446 5532 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
5532 5879 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
5879 5959 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
5959 5962 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
5962 6007 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6007 6093 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6093 6127 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6127 6154 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6154 6168 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6168 6235 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6235 6282 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6282 6290 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6290 6346 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6346 6368 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6368 6394 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6394 6468 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6468 6518 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6518 6545 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6545 6647 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6647 6700 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6700 6805 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6805 6811 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6811 6852 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
6852 7152 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
7152 7318 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
7318 7344 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
7344 7412 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
7412 7428 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
7428 7616 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
7616 7631 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
7631 7816 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
7816 7851 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
7851 7878 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
7878 7882 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
7882 7921 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
7921 7947 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
7947 7979 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
7979 8088 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8088 8124 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8124 8152 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8152 8169 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8169 8183 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8183 8184 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8184 8206 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8206 8207 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8207 8310 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8310 8314 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8314 8330 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8330 8333 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8333 8367 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8367 8372 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8372 8382 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8382 8385 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8385 8398 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8398 8403 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8403 8422 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8422 8439 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8439 8458 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8458 8548 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8548 8614 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8614 8663 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8663 8678 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8678 8704 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8704 8728 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8728 8777 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8777 8831 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8831 8842 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8842 8881 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8881 8882 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8882 8888 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8888 8926 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8926 8944 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8944 8976 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
8976 9020 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9020 9060 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9060 9162 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9162 9166 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9166 9191 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9191 9345 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9345 9346 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9346 9432 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9432 9443 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9443 9456 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9456 9482 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9482 9496 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9496 9501 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9501 9524 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9524 9554 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9554 9598 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9598 9616 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9616 9661 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9661 9741 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9741 9771 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9771 9787 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9787 9804 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9804 9838 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9838 9850 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9850 9998 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
9998 10057 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
10057 10119 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
10119 10150 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
10150 10336 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
10336 10512 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
10512 10528 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
10528 10582 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
10582 10651 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
10651 10752 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
10752 10801 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
10801 10827 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
10827 10842 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
10842 10971 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
10971 10994 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
10994 11019 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11019 11031 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11031 11050 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11050 11069 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11069 11112 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11112 11115 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11115 11136 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11136 11269 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11269 11351 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11351 11505 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11505 11639 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11639 11695 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11695 11697 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11697 11705 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11705 11711 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11711 11725 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11725 11752 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11752 11809 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11809 11839 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11839 11884 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11884 11901 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11901 11925 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11925 11995 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
11995 12060 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12060 12107 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12107 12129 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12129 12177 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12177 12179 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12179 12183 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12183 12268 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12268 12285 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12285 12344 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12344 12395 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12395 12421 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12421 12532 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12532 12571 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12571 12587 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12587 12589 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12589 12600 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12600 12612 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12612 12704 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12704 12749 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12749 12789 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12789 12790 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12790 12811 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12811 12913 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12913 12929 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12929 12971 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
12971 13056 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
13056 13181 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
13181 13210 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
13210 13352 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
13352 13398 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
13398 13400 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
13400 13480 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
13480 13695 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
13695 13836 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
13836 13842 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
13842 13910 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
13910 14041 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14041 14047 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14047 14272 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14272 14303 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14303 14375 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14375 14487 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14487 14491 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14491 14522 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14522 14524 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14524 14545 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14545 14579 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14579 14584 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14584 14715 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14715 14737 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14737 14739 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14739 14760 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14760 14881 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14881 14889 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14889 14890 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14890 14975 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14975 14984 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14984 14997 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
14997 15024 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15024 15035 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15035 15049 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15049 15077 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15077 15116 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15116 15140 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15140 15150 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15150 15179 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15179 15215 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15215 15229 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15229 15325 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15325 15399 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15399 15430 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15430 15455 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15455 15491 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15491 15495 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15495 15585 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15585 15636 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15636 15934 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15934 15936 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15936 15960 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
15960 16061 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16061 16303 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16303 16362 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16362 16450 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16450 16468 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16468 16582 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16582 16624 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16624 16757 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16757 16759 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16759 16783 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16783 16801 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16801 16815 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16815 16844 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16844 16898 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16898 16909 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16909 16989 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
16989 17005 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
17005 17131 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
17131 17344 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
17344 17446 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
17446 17552 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
17552 17595 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
17595 17624 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
17624 17634 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
17634 17647 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
17647 17729 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
17729 17833 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
17833 17842 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
17842 17918 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
17918 17930 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
17930 18106 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18106 18221 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18221 18236 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18236 18351 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18351 18388 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18388 18417 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18417 18490 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18490 18676 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18676 18690 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18690 18699 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18699 18708 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18708 18746 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18746 18861 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18861 18877 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
18877 18943 8.0575e-03 5.8750e-04 1.0287e-02 1.5885e-02
